amount,grade,years,ownership,income,age
12000,A,14,MORTGAGE,150000,29
12000,B,16,MORTGAGE,78000,28
6075,B,2,RENT,12000,32
24400,A,6,MORTGAGE,90000,27
6000,B,1,RENT,37000,23
4000,A,2,MORTGAGE,75000,26
8000,A,2,RENT,52000,24
7200,A,2,RENT,35000,28
35000,D,12,OWN,115000,29
7200,B,6,RENT,135000,25
10000,D,5,RENT,71600,26
9000,A,26,RENT,59520,29
10000,D,0,RENT,48000,23
8000,B,16,RENT,120000,37
6000,A,3,MORTGAGE,50400,33
5000,C,7,MORTGAGE,100000,42
6250,B,4,RENT,18000,29
4150,B,4,RENT,100000,23
9000,A,0,MORTGAGE,30000,32
11700,C,2,MORTGAGE,55600,24
7000,D,2,RENT,46000,29
6000,B,1,RENT,76000,31
8000,B,3,RENT,36500,36
5000,B,22,MORTGAGE,38400,23
6200,B,0,OWN,24000,31
7200,B,0,RENT,31700,21
10000,B,15,RENT,43000,27
16000,A,18,MORTGAGE,78500,25
11500,B,3,RENT,74000,24
2500,E,7,RENT,27024,25
4000,D,27,RENT,45000,23
9000,A,0,MORTGAGE,74000,29
4000,A,7,MORTGAGE,35000,22
7000,B,4,MORTGAGE,60000,26
6000,E,0,RENT,51000,24
21250,B,5,RENT,37000,22
8400,B,7,MORTGAGE,28800,23
8400,A,2,RENT,49872,35
2100,B,0,RENT,33500,27
12000,B,7,RENT,37200,22
2500,B,0,RENT,13200,22
4000,A,15,RENT,62500,25
10400,A,0,RENT,30456,27
14000,A,12,RENT,30000,22
20000,C,9,RENT,106000,30
10000,B,6,RENT,45000,22
7200,A,11,OWN,10080,33
3000,B,3,RENT,24000,22
5600,B,8,RENT,57995,29
24250,D,9,OWN,127500,26
12000,A,28,MORTGAGE,26004,22
20000,B,3,RENT,172500,26
1200,D,2,RENT,10000,27
15000,B,5,OWN,160000,25
11200,D,5,RENT,26000,22
18300,B,9,MORTGAGE,108000,26
725,A,1,RENT,12000,27
6725,A,6,MORTGAGE,36000,23
5000,A,11,MORTGAGE,54000,26
6000,D,7,MORTGAGE,55777,30
16450,B,0,OWN,38400,33
10000,D,12,RENT,61000,29
5000,D,8,MORTGAGE,72000,38
10000,B,10,RENT,39000,22
1850,B,0,RENT,42000,30
10000,B,7,RENT,120000,23
1800,B,2,OWN,24449.16,22
11000,B,3,RENT,39000,27
10000,C,4,RENT,44160,23
3500,C,17,OWN,18000,28
1200,A,4,RENT,9960,24
8500,A,40,MORTGAGE,60000,26
7125,A,,OWN,21600,21
4775,B,4,MORTGAGE,51000,36
5000,E,2,RENT,36000,27
3000,B,0,RENT,19200,23
17000,B,4,RENT,61000,32
10500,A,3,RENT,29000,40
16000,C,0,MORTGAGE,100000,24
12000,A,3,MORTGAGE,77000,43
9000,B,,RENT,36000,23
4200,C,8,MORTGAGE,72061,44
25000,D,4,MORTGAGE,128000,27
6125,D,1,MORTGAGE,40300,28
5000,C,6,RENT,35000,26
5275,C,4,RENT,15600,29
9750,D,1,RENT,39000,31
10000,A,7,MORTGAGE,45000,21
3000,C,0,RENT,42000,23
25000,E,5,RENT,75000,27
1675,B,3,RENT,24960,23
1325,A,17,OWN,39456,24
6200,A,7,MORTGAGE,62000,24
8000,A,2,RENT,78000,31
13000,A,6,RENT,42000,26
12000,B,0,OWN,23004,36
14400,D,1,RENT,36120,38
14500,D,1,RENT,36000,21
3400,D,1,RENT,32004,32
5000,A,4,MORTGAGE,45000,21
6000,B,1,MORTGAGE,150000,26
8000,C,9,RENT,42000,25
22000,C,19,RENT,49000,25
9600,C,14,RENT,58000,26
10000,B,0,RENT,80000,25
6000,B,32,MORTGAGE,75000,23
4800,C,4,RENT,42000,22
4400,B,0,MORTGAGE,48000,24
19200,A,3,RENT,60000,28
6500,E,0,RENT,21840,27
14000,C,9,MORTGAGE,87000,30
6000,D,3,RENT,15000,22
5500,A,,MORTGAGE,36780,25
7000,B,25,MORTGAGE,70000,24
15000,B,10,MORTGAGE,75000,23
35000,D,14,OWN,100000,23
25000,C,6,RENT,115000,36
9000,B,1,RENT,41000,28
10000,C,0,RENT,39000,25
6000,B,6,MORTGAGE,48000,29
10000,D,0,RENT,85000,23
2500,A,6,MORTGAGE,81000,28
20000,A,1,OWN,158000,29
11000,B,3,RENT,90000,35
12000,C,4,RENT,42000,23
5000,B,6,MORTGAGE,77000,24
3200,A,12,MORTGAGE,82000,26
11500,A,5,MORTGAGE,29000,23
25000,D,4,MORTGAGE,67100,24
6425,C,0,RENT,70000,24
25000,D,8,MORTGAGE,160000,24
4000,A,0,RENT,45000,28
8400,D,8,MORTGAGE,56000,27
7000,A,8,MORTGAGE,39000,36
4500,A,10,MORTGAGE,95000,23
7550,B,21,RENT,73000,26
2000,A,,MORTGAGE,12600,22
6600,A,25,OWN,26400,35
3100,A,4,MORTGAGE,56004,27
3325,D,0,RENT,75000,27
18000,B,3,MORTGAGE,85000,27
7200,E,5,RENT,35000,37
5000,D,6,RENT,50000,23
21600,C,2,OWN,95000,41
20000,C,21,MORTGAGE,100000,33
10000,B,18,RENT,88000,26
15000,B,5,RENT,65000,29
25000,F,0,MORTGAGE,225000,25
3000,A,7,MORTGAGE,54000,23
7500,C,7,MORTGAGE,92004,26
6000,D,4,RENT,18996,22
9350,A,4,RENT,50000,22
3000,A,2,RENT,42000,23
6000,E,0,RENT,50000,34
11350,A,6,RENT,43200,33
15000,D,2,MORTGAGE,99996,29
6000,A,11,MORTGAGE,98004,43
13750,C,2,MORTGAGE,42000,25
4400,C,15,MORTGAGE,51480,23
7500,B,11,MORTGAGE,79000,25
9000,B,0,RENT,23900,22
11700,A,,MORTGAGE,77705.88,23
10000,D,0,RENT,46000,42
9600,A,5,MORTGAGE,50000,32
8000,B,5,MORTGAGE,35000,35
7200,A,26,MORTGAGE,61200,22
7500,A,4,RENT,48000,23
8575,B,26,MORTGAGE,120000,24
20000,E,9,RENT,186462,36
10000,A,2,MORTGAGE,37000,23
3000,B,12,RENT,64800,23
3000,B,0,RENT,21000,41
5000,D,3,RENT,42000,29
4750,C,0,MORTGAGE,25000,23
8500,A,3,MORTGAGE,42000,24
4000,B,0,RENT,130068,24
5500,C,0,RENT,73700,24
2500,C,2,RENT,14400,26
4000,E,,OWN,37200,25
7000,A,0,RENT,60000,24
1500,C,2,RENT,26000,29
4000,B,3,RENT,31200,24
12000,C,6,RENT,25200,34
5000,B,0,MORTGAGE,38400,23
16000,B,14,MORTGAGE,92000,34
9200,B,,OWN,32496,27
6000,D,9,MORTGAGE,65827,47
18000,D,8,RENT,48000,24
3400,B,17,MORTGAGE,76145,25
2000,A,3,RENT,45000,25
2400,C,3,RENT,60000,24
10000,D,8,RENT,68000,32
3000,B,2,RENT,27600,21
20000,C,3,RENT,108901,25
1000,C,,RENT,24000,30
16400,C,5,OWN,54996,27
4000,C,5,RENT,86095,27
15000,D,3,RENT,45000,26
20000,C,9,RENT,69000,30
12000,D,22,RENT,72000,25
1500,B,,RENT,30000,28
4325,A,1,RENT,48000,23
10000,D,3,RENT,57600,23
5050,D,8,RENT,40000,26
9000,A,3,MORTGAGE,110000,36
7500,D,1,RENT,37000,28
10000,B,0,MORTGAGE,85000,24
6000,A,33,MORTGAGE,120000,23
7000,A,5,RENT,60000,24
16000,E,3,RENT,139992,23
1600,C,2,RENT,23000,24
20000,B,13,RENT,75000,28
8000,B,5,RENT,27996,30
7000,A,5,MORTGAGE,43000,21
10000,C,1,MORTGAGE,100000,29
16000,B,0,MORTGAGE,93000,23
10000,B,1,RENT,45000,28
10000,A,1,RENT,30000,22
3600,B,4,RENT,31000,22
4000,B,3,MORTGAGE,45000,22
3000,A,1,RENT,54000,25
10500,A,20,MORTGAGE,48000,23
5000,C,0,RENT,32000,41
13800,C,2,RENT,57600,27
3500,A,2,RENT,12996,22
12000,A,2,MORTGAGE,120000,24
12000,A,2,MORTGAGE,44000,21
8500,B,2,MORTGAGE,55000,26
15000,B,8,MORTGAGE,50000,23
11500,B,5,MORTGAGE,34000,22
21200,B,20,MORTGAGE,60000,23
7200,A,4,MORTGAGE,105000,23
6000,A,,RENT,21640,24
18000,B,12,RENT,66000,25
35000,A,0,MORTGAGE,150000,31
12000,E,2,RENT,85000,25
9200,A,1,MORTGAGE,68000,40
9225,A,5,OWN,45996,26
3500,D,4,RENT,48000,28
4000,B,1,RENT,35000,31
5000,A,8,RENT,60000,30
18250,B,0,RENT,34000,22
13000,A,2,MORTGAGE,72100,22
8000,D,15,OWN,45678.84,28
7500,A,2,MORTGAGE,48000,33
16800,A,3,MORTGAGE,121000,27
8000,C,0,RENT,13000,31
15000,A,13,MORTGAGE,97781,23
14000,B,6,MORTGAGE,90000,23
6000,A,4,MORTGAGE,76486.08,26
7000,C,4,RENT,45000,27
3200,B,11,MORTGAGE,77000,22
3000,B,1,RENT,42000,22
8000,C,9,RENT,64000,31
15000,C,3,MORTGAGE,80300,34
12000,A,3,RENT,52000,32
3000,C,,OWN,57600,27
6400,B,4,RENT,75000,24
6000,C,27,OWN,75000,27
19750,C,0,RENT,45000,36
1000,B,3,MORTGAGE,35138.4,25
2100,B,3,RENT,39000,27
9000,A,3,MORTGAGE,86400,23
16750,B,15,MORTGAGE,42000,49
5000,C,3,RENT,65000,23
11200,A,9,MORTGAGE,87000,22
10000,C,3,MORTGAGE,30000,22
7000,A,12,RENT,66000,24
2500,B,1,RENT,115000,32
12000,A,2,RENT,42000,25
3300,C,0,OWN,41196,33
11200,B,3,RENT,75000,30
3000,B,5,MORTGAGE,34800,27
14000,A,5,RENT,36000,34
14400,C,3,MORTGAGE,48000,48
6500,B,9,MORTGAGE,57600,24
4000,A,8,OWN,26748,45
9600,A,3,RENT,65000,26
9000,B,4,MORTGAGE,145000,26
12250,A,4,MORTGAGE,40000,26
1500,B,13,MORTGAGE,35000,41
28000,A,4,MORTGAGE,118000,24
7650,E,4,RENT,39000,29
7500,B,1,OWN,22300,23
17300,D,8,MORTGAGE,56400,22
12000,C,0,RENT,48000,26
5000,C,24,RENT,90000,23
6000,D,1,RENT,45000,23
6000,C,3,RENT,46000,25
2700,B,6,RENT,15000,30
16775,C,7,RENT,83000,30
8000,A,5,MORTGAGE,70000,25
25000,B,19,MORTGAGE,102489.4,30
11000,A,9,RENT,43000,24
5000,B,6,MORTGAGE,69996,24
9725,B,8,OWN,50000,29
3000,B,7,RENT,80400,33
21000,B,3,RENT,80000,23
2050,B,1,RENT,30000,31
9175,B,15,OWN,25000,32
10000,C,4,RENT,33000,23
12000,A,1,MORTGAGE,1200000,32
10000,A,0,RENT,90000,23
7400,E,0,RENT,48000,25
10000,C,8,MORTGAGE,72000,34
12000,A,0,MORTGAGE,95400,21
2150,B,0,RENT,20000,28
5000,B,13,RENT,55000,30
3000,A,9,MORTGAGE,48156,22
12000,B,0,MORTGAGE,65000,49
15000,B,3,MORTGAGE,182496,27
5000,A,6,RENT,34000,25
16000,A,13,MORTGAGE,90000,22
21000,B,6,RENT,117000,29
6400,C,0,RENT,25000,23
1600,B,2,MORTGAGE,30000,29
12000,B,13,OWN,33000,22
15000,B,0,MORTGAGE,19500,21
4500,A,3,MORTGAGE,58000,21
6000,D,4,RENT,55000,21
3200,A,3,OWN,50000,28
9000,D,34,RENT,56000,24
2000,A,22,MORTGAGE,63600,35
5000,C,1,OWN,85000,25
7000,A,14,MORTGAGE,25000,26
6000,A,2,RENT,37200,27
10000,B,4,MORTGAGE,73524,24
24000,B,4,MORTGAGE,90000,28
25000,B,4,MORTGAGE,80000,23
6000,C,12,RENT,58800,22
2000,A,0,RENT,44000,30
7975,A,8,MORTGAGE,40800,22
4075,A,6,MORTGAGE,45000,24
6500,C,0,RENT,55000,38
6000,A,0,RENT,50000,40
4800,C,4,RENT,36000,22
4000,C,0,RENT,17500,21
3800,D,0,OWN,20400,22
11500,A,17,OWN,60000,22
7500,A,3,MORTGAGE,83000,31
9000,C,2,RENT,34000,24
15000,D,3,MORTGAGE,58000,24
6500,B,2,RENT,26400,29
6000,B,4,RENT,38004,30
6000,B,20,RENT,80490,24
10000,A,6,RENT,79200,28
20000,E,0,MORTGAGE,120000,25
5000,C,5,RENT,87000,36
14400,B,8,RENT,125000,25
9300,A,11,MORTGAGE,96900,24
17000,A,3,RENT,55782,24
10000,D,40,RENT,30000,28
8000,D,2,RENT,45000,41
7000,A,2,RENT,50000,26
2800,C,3,MORTGAGE,45325,23
24000,B,29,MORTGAGE,85000,25
8000,C,5,MORTGAGE,52000,31
21000,A,1,MORTGAGE,144000,36
2000,D,2,RENT,14400,26
1950,B,0,MORTGAGE,100128,24
4000,A,7,RENT,33000,27
8000,D,3,RENT,52000,26
20000,B,2,MORTGAGE,135000,31
15000,A,15,MORTGAGE,148000,22
8500,A,5,RENT,64777.55,38
5000,A,7,MORTGAGE,44000,25
3200,A,2,OWN,9600,24
6250,D,4,MORTGAGE,28000,43
10000,C,7,MORTGAGE,38400,24
15000,D,3,RENT,52800,32
3600,B,4,RENT,53000,33
9400,A,6,RENT,33000,41
16250,B,5,RENT,53000,26
20000,D,2,RENT,52000,22
6000,A,0,RENT,33500,33
3000,C,7,RENT,31400,31
9600,B,3,MORTGAGE,39996,31
8500,C,8,MORTGAGE,69383,22
16500,A,18,MORTGAGE,107900,26
10000,B,0,RENT,43200,53
2800,C,4,MORTGAGE,25000,21
4800,E,11,RENT,73200,22
15000,A,11,MORTGAGE,110004,25
10000,C,18,RENT,32000,23
1450,C,0,RENT,17000,29
8500,C,1,MORTGAGE,78000,22
20000,E,2,MORTGAGE,68000,25
5200,A,8,MORTGAGE,48000,32
6000,B,6,RENT,45000,38
15000,A,15,MORTGAGE,95200,32
22500,A,3,MORTGAGE,50000,26
1000,D,22,MORTGAGE,42588,21
6000,A,3,OWN,50000,22
4000,B,1,RENT,26000,23
33000,E,13,MORTGAGE,220000,32
20000,C,8,RENT,75000,35
7200,A,5,OWN,25000,23
4525,A,,OWN,24960,22
3500,C,1,RENT,26400,22
25000,B,9,MORTGAGE,84000,24
4000,B,17,MORTGAGE,45000,25
10000,D,4,MORTGAGE,90000,28
25000,C,1,MORTGAGE,130000,34
25000,E,4,MORTGAGE,72400,24
10000,A,20,OWN,59000,28
6000,A,2,RENT,47000,22
14500,C,3,RENT,57996,22
15000,A,13,MORTGAGE,100000,22
20000,D,0,OTHER,79404,25
4200,A,8,MORTGAGE,66000,31
3000,C,4,RENT,18000,23
14850,A,8,RENT,31500,25
5000,B,3,RENT,52000,43
4000,A,0,RENT,55000,26
6000,B,3,RENT,45600,26
4400,B,7,OWN,26496,34
12000,B,1,MORTGAGE,94800,23
8000,A,2,MORTGAGE,64000,34
7000,A,,MORTGAGE,45000,24
12000,D,16,RENT,250000,27
18325,A,11,MORTGAGE,159960,26
2000,C,24,MORTGAGE,30000,22
12000,A,23,MORTGAGE,53000,25
2000,C,2,OWN,35000,34
7000,C,18,RENT,67350,28
6500,A,26,MORTGAGE,38500,21
7000,C,2,RENT,24000,26
3000,B,0,MORTGAGE,129600,25
5000,C,15,RENT,83004,32
12000,C,3,MORTGAGE,45000,39
2500,D,6,RENT,38400,33
10000,B,9,RENT,35004,34
12000,A,11,MORTGAGE,65000,26
4000,B,1,MORTGAGE,35000,28
3000,C,38,MORTGAGE,105000,24
10000,B,3,MORTGAGE,80000,22
1800,C,0,RENT,57000,22
12000,C,9,MORTGAGE,88000,31
7200,B,6,RENT,50000,35
20000,E,13,MORTGAGE,90996,24
17500,E,7,RENT,54996,24
4500,E,2,RENT,21000,25
4800,B,5,RENT,26004,22
3300,B,1,MORTGAGE,45000,22
7800,B,3,MORTGAGE,26000,23
7000,C,7,OWN,60000,49
12475,A,5,MORTGAGE,66000,48
7500,D,7,MORTGAGE,50000,21
7000,A,3,OWN,42000,22
20000,E,18,RENT,76000,24
5000,C,1,OWN,30000,33
12000,D,5,RENT,72000,34
7000,E,5,OWN,46800,25
7200,A,22,MORTGAGE,40200,21
20000,A,4,MORTGAGE,59000,22
4500,B,1,MORTGAGE,42000,26
15000,C,3,RENT,122000,27
20000,D,15,MORTGAGE,100000,25
15450,E,5,MORTGAGE,42000,28
16000,B,20,MORTGAGE,300000,34
10000,B,5,RENT,39600,22
10000,B,0,MORTGAGE,75000,32
1300,C,3,RENT,9600,24
7000,B,11,MORTGAGE,59147,27
3600,C,6,MORTGAGE,98000,33
12000,C,5,MORTGAGE,54000,22
20000,B,0,RENT,100000,22
20000,B,10,MORTGAGE,81600,25
3050,A,13,MORTGAGE,30000,46
8500,B,9,MORTGAGE,42000,29
8400,A,12,RENT,72000,28
9000,B,5,MORTGAGE,120000,29
8000,B,0,RENT,26000,22
35000,A,0,MORTGAGE,144000,35
12000,D,12,MORTGAGE,54000,22
12000,C,1,RENT,79500,23
8000,B,3,RENT,52000,26
18250,C,8,RENT,52000,25
4000,C,4,RENT,54000,27
25000,D,3,MORTGAGE,134000,35
8000,B,3,RENT,50000,24
3000,A,2,RENT,64200,40
23750,B,6,MORTGAGE,80000,27
7200,B,0,RENT,14400,22
12000,A,7,RENT,91392,23
5000,A,0,MORTGAGE,95000,28
19775,B,2,RENT,49110.32,30
7000,A,12,RENT,75000,36
14000,A,11,OWN,45600,23
3250,D,4,OWN,25920,24
19275,E,8,RENT,33600,40
8400,C,,MORTGAGE,66000,27
2500,A,,OWN,12000,21
25000,B,9,MORTGAGE,125000,24
4000,B,2,RENT,24000,23
7250,A,0,RENT,20800,30
1500,A,2,RENT,32004,35
2400,D,1,RENT,30000,21
15000,B,18,RENT,28000,22
15000,D,1,RENT,110000,60
5800,A,,RENT,26988,31
22000,C,4,MORTGAGE,83200,23
5600,A,16,RENT,43000,32
10000,B,1,RENT,145000,26
12000,A,5,MORTGAGE,80000,25
8000,A,5,RENT,45286.8,23
8000,C,0,MORTGAGE,37732.83,35
10000,A,18,MORTGAGE,55000,22
5600,D,1,RENT,45000,22
6000,B,1,OWN,35000,36
8000,B,6,RENT,25000,43
3500,B,4,MORTGAGE,59000,26
12000,B,5,MORTGAGE,100000,24
15250,B,4,MORTGAGE,90000,23
9500,A,3,RENT,60000,36
11225,D,14,MORTGAGE,31356,22
2500,C,7,MORTGAGE,40000,28
5000,D,14,MORTGAGE,89000,24
8000,D,0,RENT,41600,30
3550,B,4,RENT,38400,29
4200,D,3,RENT,22560,22
2775,D,0,RENT,25000,37
6300,B,5,OWN,28000,30
4000,D,0,OWN,31193,22
18000,A,11,MORTGAGE,99000,22
20000,B,5,MORTGAGE,100970,27
10000,B,5,MORTGAGE,75000,25
12000,D,5,RENT,125000,32
5350,C,6,MORTGAGE,52000,36
4000,C,11,RENT,45000,37
14500,C,3,RENT,43200,25
10000,C,0,MORTGAGE,80000,27
6000,B,21,RENT,63000,31
4000,D,27,MORTGAGE,50000,34
8000,C,1,OWN,30000,47
20000,B,7,MORTGAGE,65004,26
10000,A,0,RENT,25000,34
10000,B,12,RENT,30000,22
3000,B,9,MORTGAGE,88200,26
12000,A,3,OWN,67000,22
6400,A,21,OWN,44000,23
1000,C,1,RENT,25000,26
9500,B,2,RENT,65000,47
3600,A,14,OWN,67000,29
17600,C,,RENT,59256,25
12000,D,1,RENT,84000,23
5200,A,2,RENT,30000,28
1400,B,0,RENT,10000,24
10000,C,0,OWN,37000,41
3000,C,3,MORTGAGE,108000,27
5600,A,12,MORTGAGE,72000,37
20000,C,7,RENT,76000,26
5500,B,1,RENT,57000,25
6000,C,3,RENT,22600,21
12000,A,2,MORTGAGE,44000,21
14500,A,3,RENT,55000,24
12800,B,1,MORTGAGE,99600,25
7000,A,2,RENT,31200,25
4200,A,12,RENT,35000,22
10000,B,3,MORTGAGE,54000,28
13000,B,8,RENT,69996,23
10000,C,4,RENT,54996,36
10000,D,1,RENT,26000,36
15000,B,1,RENT,40000,23
5725,C,3,MORTGAGE,22404,28
7000,B,23,MORTGAGE,98100,23
18600,C,2,RENT,99700,28
6400,E,6,RENT,75000,26
10000,A,1,MORTGAGE,60000,22
17800,B,6,MORTGAGE,61781,24
3000,A,4,RENT,45000,24
3000,C,11,RENT,45000,26
1000,C,2,RENT,16800,22
14000,A,4,RENT,80000,32
5000,B,0,RENT,75000,30
7500,C,1,RENT,26300,38
7200,C,0,MORTGAGE,114000,34
9600,B,1,RENT,28800,21
10000,C,0,MORTGAGE,100000,26
12000,B,0,RENT,65000,27
3000,B,14,RENT,43000,23
1200,B,0,RENT,34000,26
7000,A,11,MORTGAGE,57738,23
10375,A,6,MORTGAGE,79000,22
4000,B,3,MORTGAGE,60000,24
4500,B,21,MORTGAGE,60000,30
20000,A,2,RENT,50000,55
28000,D,13,OWN,76000,29
25000,D,0,MORTGAGE,120000,24
5500,D,2,RENT,21700,21
6000,A,10,OWN,43200,22
10000,C,3,RENT,48000,25
9200,B,,RENT,22800,22
9600,B,2,RENT,85000,23
5000,A,19,RENT,60000,28
3000,A,3,RENT,25000,24
8000,A,4,RENT,43300,24
6400,C,3,RENT,30000,23
5400,A,1,MORTGAGE,98406,32
10000,B,28,MORTGAGE,56820,28
6000,A,15,RENT,125004,28
1500,A,5,RENT,30000,35
2200,C,,RENT,15000,29
10000,A,0,RENT,30000,24
2500,A,5,MORTGAGE,28000,23
3500,C,1,MORTGAGE,60000,40
15000,B,14,MORTGAGE,90000,29
10000,A,13,MORTGAGE,54000,30
5000,A,7,RENT,62000,27
7000,D,3,RENT,120000,32
9000,B,7,RENT,33600,21
10000,B,2,OWN,30000,32
4500,C,14,OWN,12000,25
25000,D,5,RENT,151016.08,31
3500,C,3,OWN,25000,31
5000,A,14,RENT,37513,27
10000,C,3,RENT,36000,22
10750,B,3,RENT,24960,27
6000,A,4,MORTGAGE,44500,28
12000,B,8,RENT,34000,24
12000,C,2,RENT,37920,29
7200,B,2,RENT,33000,29
14000,C,0,RENT,100000,38
5600,B,3,RENT,60000,21
5000,A,17,MORTGAGE,100000,27
7000,A,,OWN,22800,30
6950,D,0,RENT,25000,24
10000,A,13,RENT,54000,33
10000,F,2,MORTGAGE,185000,48
5000,B,11,RENT,108000,24
12000,A,4,RENT,38001.6,24
9000,D,23,MORTGAGE,54000,38
12000,B,3,RENT,64000,22
12000,D,2,RENT,40046,30
6000,A,0,MORTGAGE,80004,26
3000,D,13,MORTGAGE,42000,30
8000,D,5,RENT,90000,22
25000,A,3,MORTGAGE,53148,23
9000,D,3,MORTGAGE,65993,45
12000,E,3,RENT,125004,33
3500,A,6,MORTGAGE,42000,21
1800,C,7,RENT,40000,22
7000,B,2,RENT,52000,25
13475,C,1,RENT,35000,23
10000,E,26,MORTGAGE,175400,33
12000,A,0,MORTGAGE,75000,24
10625,D,,MORTGAGE,30000,25
5000,C,19,MORTGAGE,90000,34
14000,A,5,MORTGAGE,132000,29
15000,C,5,MORTGAGE,116000,33
1400,B,11,MORTGAGE,50000,30
2575,C,0,RENT,44420,35
9500,A,2,RENT,56400,22
1000,C,16,MORTGAGE,50000,30
2500,A,1,RENT,48000,28
4800,B,1,MORTGAGE,96000,24
2000,B,3,RENT,42000,28
10000,B,1,RENT,40000,24
24250,C,16,RENT,130000,50
5000,B,,MORTGAGE,50000,24
2400,B,5,RENT,43000,22
7750,C,,RENT,24000,29
10000,E,0,RENT,60000,22
10000,B,4,MORTGAGE,140000,25
5500,D,3,RENT,50052,22
4800,B,,RENT,31200,22
8000,D,10,RENT,45000,21
8875,B,1,RENT,23000,22
10800,B,3,MORTGAGE,83000,26
1500,B,11,RENT,27000,27
5000,B,4,OWN,30000,27
17725,B,14,RENT,38220,27
14000,A,2,OWN,40000,33
7200,B,6,MORTGAGE,40000,23
5600,B,0,MORTGAGE,92000,26
30000,D,4,RENT,75000,25
11500,G,0,OWN,27000,27
3000,C,6,MORTGAGE,51000,25
5000,C,2,MORTGAGE,45500,27
19200,C,9,RENT,80000,37
8000,B,4,MORTGAGE,55000,22
6000,D,5,MORTGAGE,73000,32
20000,B,5,OWN,41717,22
4000,A,6,OWN,66480,23
7000,A,,OWN,30156,29
5000,A,1,OWN,20000,29
6000,D,5,MORTGAGE,27600,24
3000,B,4,RENT,50000,23
3200,B,8,RENT,37000,21
11000,C,0,RENT,42000,23
15000,A,18,MORTGAGE,126000,30
1000,B,23,MORTGAGE,87000,26
2400,B,0,RENT,100000,37
6000,D,2,RENT,39000,22
10000,C,0,RENT,40000,25
8000,C,7,RENT,30000,24
7000,A,7,OWN,14400,36
6000,B,2,RENT,28800,21
7500,B,5,MORTGAGE,45500,31
12000,B,8,RENT,31200,22
10000,A,1,RENT,62000,23
7000,A,4,RENT,29736,31
7200,B,6,RENT,30000,33
20000,D,0,MORTGAGE,145992,26
9600,D,4,RENT,60000,27
14400,A,4,RENT,85000,27
16000,D,3,MORTGAGE,78500,25
5000,B,2,OWN,25000,37
22000,A,9,MORTGAGE,55920,33
9250,A,2,RENT,67000,30
15000,B,3,RENT,48564,30
15000,C,11,MORTGAGE,100500,27
13650,D,2,RENT,63936,28
10000,C,6,RENT,93000,23
3200,C,6,MORTGAGE,47000,31
6500,C,9,MORTGAGE,63000,24
3000,B,5,RENT,36000,31
7500,C,0,RENT,72000,28
12000,A,17,RENT,29435,24
10000,C,12,OWN,60000,22
5100,B,,OWN,33996,24
1250,B,4,OWN,29500,36
12000,A,,RENT,31800,22
5000,B,6,RENT,35000,38
5000,A,0,MORTGAGE,66000,26
16000,B,2,MORTGAGE,120000,27
18000,B,19,MORTGAGE,120000,23
11200,A,9,RENT,66000,42
20000,B,3,MORTGAGE,102000,26
12000,C,12,OWN,51000,39
6500,A,4,MORTGAGE,95000,25
1400,B,17,RENT,48000,23
20000,B,62,OWN,80000,24
24000,D,11,MORTGAGE,125000,42
8000,B,2,RENT,115000,25
10000,D,4,MORTGAGE,100000,35
20000,C,11,MORTGAGE,72893,25
5000,B,8,OWN,54000,34
13000,B,5,RENT,70000,39
13000,B,18,MORTGAGE,95000,36
5000,A,9,RENT,70000,35
2750,D,2,RENT,16800,23
12500,B,0,RENT,130000,32
1000,B,23,MORTGAGE,87000,26
3650,B,14,MORTGAGE,105000,22
15000,C,4,MORTGAGE,31200,27
5000,C,4,RENT,27264,22
1000,B,,RENT,13728,24
7750,A,11,MORTGAGE,78000,22
4000,D,1,MORTGAGE,49000,24
14000,A,27,OWN,60000,22
14100,A,6,RENT,83203.68,30
5000,D,2,RENT,39996,24
9600,D,7,RENT,40000,25
28000,C,1,MORTGAGE,160000,27
6200,A,4,RENT,56000,23
6500,E,0,RENT,65000,28
5600,B,2,MORTGAGE,110000,32
2500,A,3,RENT,150000,44
3000,C,4,MORTGAGE,200000,26
2400,C,0,RENT,28800,24
15000,B,14,RENT,81960,23
4000,D,8,MORTGAGE,33996,24
6000,F,2,RENT,48000,39
6000,C,7,RENT,21812,25
12000,D,3,OWN,28000,40
3000,B,2,RENT,14400,33
10000,A,4,RENT,67202,30
8500,C,2,MORTGAGE,43000,22
15000,E,2,RENT,96000,33
25000,E,0,MORTGAGE,180000,24
16000,D,17,OWN,75000,27
4000,C,1,RENT,18000,22
22000,B,8,RENT,89650,25
5500,C,2,RENT,30996,36
2900,B,6,MORTGAGE,70992,24
12000,C,7,RENT,70000,22
5000,C,0,RENT,24996,31
20000,C,21,MORTGAGE,64000,31
8000,C,6,RENT,82000,26
8000,A,15,MORTGAGE,30000,37
3500,C,22,RENT,70000,23
7000,A,2,OWN,80340,22
20000,C,3,RENT,175000,25
10000,A,10,OWN,72000,27
3600,B,5,RENT,80000,22
6000,A,26,OWN,114000,23
18000,F,4,MORTGAGE,150000,26
14000,D,11,MORTGAGE,88000,31
5000,C,11,MORTGAGE,43000,28
30000,E,1,MORTGAGE,116000,46
16000,B,1,MORTGAGE,40800,23
25000,B,3,MORTGAGE,86000,27
3000,C,3,RENT,27600,28
28250,D,7,MORTGAGE,120000,32
5300,D,5,RENT,50004,22
