Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,Cust_Id,Is_Good
Middle,Female,Own,Married,Far,52300,1,High,18,711,1
Middle,Male,Rent,Single,Far,65400,0,High,12,1211,1
Young,Male,Rent,Single,Close,19600,0,Low,12,319,0
Old,Male,Own,Married,Far,37000,0,Medium,12,67,0
Young,Female,Rent,Single,Far,13200,0,,18,1251,0
Middle,Male,Rent,Single,Close,63800,1,Medium,24,513,1
Old,Female,Rent,Single,Far,22600,0,,12,1052,0
Old,Female,Own,Single,Close,37300,0,Medium,6,63,0
Young,Male,Rent,Single,Far,14900,1,,12,1108,0
Middle,Female,Own,Single,Close,36700,1,,6,349,0
Middle,Male,Own,Single,Close,63200,0,High,24,623,1
Old,Male,Own,Married,Close,77300,0,High,18,860,1
Middle,Male,Rent,Single,Close,43100,1,,12,957,1
Middle,Female,Rent,Single,Far,44800,1,Medium,6,340,0
Old,Female,Rent,Married,Close,70900,0,High,24,423,1
Middle,Female,Rent,Single,Far,38200,0,Medium,24,126,1
Young,Female,Rent,Single,Far,18400,1,Low,6,110,0
Middle,Female,Rent,Single,Close,40700,3,Low,18,840,0
Old,Male,Own,Single,Close,71300,0,High,18,1024,1
Middle,Female,Rent,Single,Close,36400,2,Low,18,1152,0
Young,Male,Rent,Single,Close,15400,0,Low,6,114,0
Middle,Male,Own,Single,Far,39100,1,Medium,12,614,0
Middle,Male,Rent,Single,Close,43800,0,Medium,12,331,0
Young,Male,Rent,Single,Far,25300,0,Medium,12,228,0
Old,Male,Rent,Married,Close,71800,0,High,12,1173,1
Middle,Male,Own,Single,Close,73200,0,High,24,927,1
Middle,Male,Own,Married,Far,79000,1,High,18,707,1
Middle,Female,Rent,Married,Close,75200,1,,24,218,1
Young,Female,Rent,Single,Close,25300,3,,6,942,0
Old,Female,Own,Married,Close,43600,0,Medium,12,716,0
Middle,Male,Own,Married,Close,83600,2,Medium,6,361,0
Middle,Female,Own,Single,Far,56200,0,High,18,575,1
Young,Male,Rent,Married,Close,45500,0,Medium,6,1255,0
Middle,Male,Own,Married,Close,99300,1,High,12,1277,1
Middle,Male,Own,Married,Far,108000,3,High,24,603,1
Middle,Female,Own,Married,Far,84900,1,High,24,58,1
Middle,Male,Own,Married,Far,93000,3,High,6,523,0
Middle,Female,Own,Married,Close,82000,0,High,18,789,1
Old,Female,Own,Single,Close,33000,3,,6,134,0
Middle,Female,Own,Single,Close,36900,2,Low,24,683,0
Middle,Female,Rent,Single,Close,33200,1,,6,1077,0
Young,Male,Rent,Married,Close,49300,0,,24,588,1
Old,Male,Rent,Married,Far,66200,0,High,24,799,1
Middle,Male,Own,Married,Far,96800,2,High,18,246,1
Old,Male,Own,Single,Close,63200,0,High,24,331,1
Old,Male,Own,Married,Far,112900,0,High,24,975,1
Middle,Female,Rent,Single,Close,32100,2,Low,24,1052,0
Middle,Male,Own,Married,Far,102700,1,High,18,1269,1
Middle,Male,Own,Married,Close,123800,2,,18,898,1
Old,Female,Rent,Single,Far,11700,0,Low,18,962,0
Middle,Male,Own,Married,Close,101700,1,,6,1283,0
Middle,Female,Own,Married,Far,99200,0,High,24,924,1
Young,Male,Rent,Single,Close,17600,0,,6,817,0
Young,Female,Rent,Single,Close,19400,1,,18,190,0
Middle,Male,Rent,Single,Far,40500,1,,18,510,0
Old,Male,Own,Single,Close,44800,0,Medium,24,725,1
Middle,Male,Own,Married,Close,79000,2,Medium,18,1034,0
Young,Male,Rent,Married,Close,53600,1,Medium,24,1203,0
