MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS,START_DATE (YYYYMMDD),END_DATE  (YYYYMMDD)
A06107,75,130237.88,,M,300000,1,TYPE-A,65,0,ANNUAL,1160600,INFORCE,20111125,
A06108,29,182697.36,M,M,9799992,2,TYPE-A,50,2,ANNUAL,1126511,INFORCE,20111128,
A06109,17,111097.32,,M,499992,2,TYPE-A,44,3,ANNUAL,20955,INFORCE,20111122,
A06110,67,195000.14,,M,999996,2,TYPE-A,62,0,ANNUAL,1271000,INFORCE,20111125,
A06111,79,195000.14,,M,999996,2,TYPE-A,62,0,ANNUAL,1271000,INFORCE,20111125,
A06112,32,119998.32,S,M,600000,1,TYPE-A,24,0,MONTHLY,698444,CANCELLED,20111124,20120208
A06113,12,100200.72,S,F,849996,1,TYPE-B,24,0,MONTHLY,1260122,INFORCE,20111124,
A06114,12,150000,,M,,6,TYPE-B,72,3,SEMI-ANNUAL,1270622,CANCELLED,20111125,20130724
A06115,80,191117.1,,M,399996,1,TYPE-A,57,0,ANNUAL,1270566,CANCELLED,20111124,20121224
A06116,12,300002.4,M,M,600000,1,TYPE-B,33,1,MONTHLY,1219477,INFORCE,20111125,
A06117,12,350000,S,M,720000,1,TYPE-B,24,0,ANNUAL,1267455,INFORCE,20111128,
A06118,12,100000,,M,600000,2,TYPE-B,69,3,SEMI-ANNUAL,1097888,CANCELLED,20111129,20130127
A06119,12,100000,M,M,849996,1,TYPE-B,30,1,ANNUAL,1275399,INFORCE,20111128,
A06120,12,100000,,M,300000,6,TYPE-B,66,0,ANNUAL,1132966,INFORCE,20111219,
A06121,58,111132.26,M,M,999996,2,TYPE-A,47,2,ANNUAL,1273200,INFORCE,20111128,
A06122,12,199999.98,,M,4659084,1,TYPE-B,70,2,SEMI-ANNUAL,1242911,INFORCE,20111128,
A06123,64,200000.23,M,F,499992,2,TYPE-A,40,1,ANNUAL,1259000,CANCELLED,20111227,20130126
A06124,88,110000.48,,M,600000,2,TYPE-A,39,0,ANNUAL,1234800,INFORCE,20111130,
A06125,65,253875,,M,1399992,2,TYPE-A,39,1,ANNUAL,1234800,INFORCE,20111130,
A06126,12,111000,M,M,999996,2,TYPE-B,47,1,ANNUAL,1273200,INFORCE,20111128,
A06127,58,152000.12,,M,489996,2,TYPE-A,73,3,ANNUAL,1157900,CANCELLED,20111129,20121228
A06128,12,100000.35,M,M,499992,1,TYPE-A,47,2,ANNUAL,1220688,CANCELLED,20111130,20121228
A06129,12,200000,M,M,750000,2,TYPE-B,39,3,SEMI-ANNUAL,1196399,CANCELLED,20111128,20120726
A06130,12,100100,,M,120000,2,TYPE-B,45,0,ANNUAL,717988,CANCELLED,20111128,20130127
A06131,12,199999.98,M,M,180000,1,TYPE-B,53,3,SEMI-ANNUAL,225699,INFORCE,20111128,
A06132,12,100000,,M,499992,2,TYPE-B,71,1,ANNUAL,1222022,INFORCE,20111130,
A06133,12,100000,,M,1299996,1,TYPE-B,57,0,ANNUAL,717988,INFORCE,20111129,
A06134,61,205737.68,M,M,1200000,2,TYPE-A,43,3,ANNUAL,1135233,INFORCE,20111129,
A06135,79,135000.23,,M,799992,6,TYPE-A,82,0,ANNUAL,1135233,CANCELLED,20111130,20121228
A06136,27,120005.76,M,M,949992,2,TYPE-A,39,1,MONTHLY,20500,CANCELLED,20111130,20120212
A06137,12,199999.99,M,M,3000000,2,TYPE-B,64,3,ANNUAL,1278944,INFORCE,20111207,
A06138,12,120000.96,M,F,283992,2,TYPE-B,53,2,MONTHLY,1244022,CANCELLED,20111130,20120827
A06139,12,150000,M,M,249996,2,TYPE-B,37,1,ANNUAL,1236488,CANCELLED,20111130,20130127
A06140,81,500000.47,,M,499992,1,TYPE-A,61,0,ANNUAL,1157900,CANCELLED,20111130,20121228
A06141,65,199999.83,,M,,6,TYPE-A,65,1,ANNUAL,1270566,CANCELLED,20111130,20121228
A06142,12,100000,M,M,399996,1,TYPE-B,46,2,ANNUAL,547077,INFORCE,20111130,
A06143,12,500000,M,M,2277996,2,TYPE-B,64,3,ANNUAL,1182811,INFORCE,20111130,
A06144,12,150001.08,M,M,799992,2,TYPE-B,52,1,MONTHLY,1282911,CANCELLED,20111130,20120328
A06145,12,102000.84,M,M,450000,1,TYPE-B,57,1,MONTHLY,1258500,CANCELLED,20111130,20130627
A06146,12,100000,M,M,1500000,1,TYPE-B,38,3,ANNUAL,1271099,INFORCE,20111130,
A06147,88,154076.23,,M,1599996,2,TYPE-A,39,0,ANNUAL,1234800,INFORCE,20111130,
A06148,12,100000,S,M,3000000,1,TYPE-B,22,0,ANNUAL,737333,INFORCE,20111130,
A06149,52,120199.9,M,M,699996,1,TYPE-A,52,1,ANNUAL,1234800,INFORCE,20111130,
A06150,91,100000.35,,M,499992,2,TYPE-A,72,0,ANNUAL,1234800,CANCELLED,20111130,20121228
A06151,57,100000.16,,M,499992,2,TYPE-A,72,2,ANNUAL,1234800,CANCELLED,20111130,20121228
A06152,12,200000,M,F,750000,2,TYPE-B,41,3,ANNUAL,249699,CANCELLED,20111207,20130205
A06153,12,210000.07,M,M,3999996,2,TYPE-B,49,1,ANNUAL,923455,INFORCE,20111130,
A06154,27,119995.56,M,M,1599996,1,TYPE-A,36,2,MONTHLY,21011,INFORCE,20111130,
A06155,12,120000.96,M,M,699996,2,TYPE-B,37,2,MONTHLY,1122699,CANCELLED,20111230,20120428
A06156,32,126041.16,S,F,300000,2,TYPE-A,21,0,MONTHLY,437477,CANCELLED,20111130,20120212
A06157,12,120000.96,M,F,399996,1,TYPE-B,37,1,MONTHLY,280466,CANCELLED,20111130,20130329
A06158,81,500000.47,,M,499992,1,TYPE-A,61,0,ANNUAL,1157900,CANCELLED,20111216,20130114
A06159,17,432003.36,M,F,8700000,1,TYPE-B,44,3,MONTHLY,1267944,INFORCE,20111214,
A06160,12,100000,M,F,1200000,2,TYPE-B,25,1,SEMI-ANNUAL,1097888,CANCELLED,20111208,20130206
A06161,12,100000,W,F,249996,1,TYPE-B,43,0,ANNUAL,1284422,INFORCE,20111209,
A06162,91,253875,,M,699996,1,TYPE-A,50,0,ANNUAL,1283266,INFORCE,20111213,
A06163,95,255868.08,,M,799992,1,TYPE-A,39,0,MONTHLY,128988,CANCELLED,20111219,20120704
A06164,12,175000,M,M,999996,1,TYPE-B,43,1,ANNUAL,1244022,CANCELLED,20111230,20130226
A06165,25,100000.37,M,M,1500000,1,TYPE-A,39,2,ANNUAL,91799,CANCELLED,20111230,20130127
A06166,32,136997.64,M,M,1800000,1,TYPE-A,38,1,ANNUAL,21055,INFORCE,20111213,
A06167,17,100000.57,M,M,300000,1,TYPE-A,58,3,ANNUAL,1280388,INFORCE,20111230,
A06168,12,100000.8,M,M,384180,2,TYPE-B,33,3,MONTHLY,573388,CANCELLED,20111213,20131112
A06169,12,120000.96,,M,499992,2,TYPE-B,76,0,MONTHLY,708822,CANCELLED,20111216,20120416
A06170,12,199999.99,S,F,600000,1,TYPE-B,50,0,ANNUAL,508255,CANCELLED,20111222,20130220
A06171,12,102000.72,,M,579996,2,TYPE-B,76,0,MONTHLY,708822,CANCELLED,20111216,20120615
A06172,85,100000.04,,M,1200000,2,TYPE-A,54,0,SEMI-ANNUAL,959322,INFORCE,20111215,
A06173,12,100200.72,S,F,350004,1,TYPE-B,24,0,MONTHLY,1260122,CANCELLED,20111215,20120415
A06174,12,199999.99,,M,799992,1,TYPE-B,49,2,ANNUAL,704744,CANCELLED,20111228,20130226
A06175,12,299999.99,S,F,600000,1,TYPE-B,50,0,ANNUAL,508255,CANCELLED,20111222,20130220
A06176,12,100000,M,F,499992,2,TYPE-B,42,1,ANNUAL,969622,CANCELLED,20111222,20130220
A06177,12,120000.96,M,M,750000,2,TYPE-B,39,3,MONTHLY,1196399,CANCELLED,20111227,20120427
A06178,55,132000.34,M,M,499992,2,TYPE-A,49,2,ANNUAL,319266,CANCELLED,20111230,20130127
A06179,12,150000,,M,1500000,1,TYPE-B,48,0,ANNUAL,1245700,INFORCE,20111219,
A06180,12,120000,M,F,499992,2,TYPE-B,34,3,ANNUAL,1222022,CANCELLED,20111230,20130226
A06181,17,258109.23,M,M,600000,2,TYPE-A,65,2,ANNUAL,1282855,INFORCE,20111222,
A06182,12,100000,,M,399996,1,TYPE-B,47,0,ANNUAL,1194400,CANCELLED,20111220,20130218
A06183,69,100000.11,M,M,499992,1,TYPE-A,35,3,ANNUAL,20988,INFORCE,20111221,
A06184,12,100001.76,M,M,3000000,2,TYPE-B,61,1,MONTHLY,493500,INFORCE,20111226,
A06185,92,101495.36,,M,499992,1,TYPE-A,44,0,SEMI-ANNUAL,1277233,INFORCE,20111220,
A06186,12,120000.96,M,M,1650000,1,TYPE-B,37,2,MONTHLY,1265822,INFORCE,20111220,
A06187,12,100000,,M,499992,6,TYPE-B,60,0,ANNUAL,1194400,CANCELLED,20111221,20130219
A06188,22,100000,M,M,1200000,1,TYPE-B,37,2,ANNUAL,1260300,CANCELLED,20111220,20130218
A06189,12,100000,M,M,1500000,1,TYPE-B,46,1,ANNUAL,879255,CANCELLED,20111221,20130219
A06190,27,116483.84,M,M,999996,2,TYPE-A,57,1,ANNUAL,1236533,INFORCE,20111223,
A06191,12,200000,M,M,1200000,1,TYPE-B,34,2,SEMI-ANNUAL,1183188,CANCELLED,20111226,20120825
A06192,12,300000,M,F,1099992,2,TYPE-B,43,3,ANNUAL,499499,CANCELLED,20111227,20130225
A06193,63,142310,,M,,6,TYPE-A,71,1,ANNUAL,1157900,CANCELLED,20111230,20130127
A06194,12,200000,,M,,6,TYPE-B,62,2,ANNUAL,792388,CANCELLED,20111226,20130224
A06195,12,119999.99,M,F,319992,1,TYPE-B,55,3,ANNUAL,225699,INFORCE,20111230,
A06196,12,120000.84,M,M,3600000,1,TYPE-B,52,3,MONTHLY,225699,INFORCE,20111226,
A06197,32,101017.07,S,M,799992,1,TYPE-A,28,0,ANNUAL,1215188,CANCELLED,20111226,20130123
A06198,12,151000,M,M,600000,2,TYPE-B,27,3,ANNUAL,923455,CANCELLED,20111226,20130222
A06199,86,200000.19,,M,699996,2,TYPE-A,46,0,ANNUAL,1132800,CANCELLED,20111226,20130125
A06200,12,120000.96,M,M,780000,1,TYPE-B,39,3,MONTHLY,1271099,CANCELLED,20111230,20130727
A06201,12,300002.4,M,M,600000,1,TYPE-B,39,2,MONTHLY,1219477,CANCELLED,20111230,20120428
A06202,56,187050.26,M,M,999996,2,TYPE-A,48,3,ANNUAL,1133688,INFORCE,20111227,
A06203,27,144915.91,M,M,474996,2,TYPE-A,35,3,ANNUAL,862622,INFORCE,20111227,
A06204,73,119997,M,M,279996,2,TYPE-A,29,3,MONTHLY,758088,INFORCE,20111226,
A06205,12,100000,,F,289008,2,TYPE-B,38,0,ANNUAL,1288544,CANCELLED,20111227,20130225
A06206,12,100000,,M,354072,2,TYPE-B,41,0,ANNUAL,1288544,CANCELLED,20111228,20130226
A06207,12,135000,,F,327192,2,TYPE-B,40,0,ANNUAL,1288544,CANCELLED,20111230,20130226
A06208,12,135000,,M,244800,2,TYPE-B,70,0,ANNUAL,1288544,CANCELLED,20111227,20130225
A06209,12,100000,M,F,499992,2,TYPE-B,48,2,SEMI-ANNUAL,293011,CANCELLED,20120116,20120914
A06210,12,120000.96,M,M,450000,2,TYPE-B,39,1,MONTHLY,737722,CANCELLED,20111227,20130428
A06211,12,100001.76,M,F,549996,2,TYPE-B,65,1,MONTHLY,637844,CANCELLED,20111230,20120627
A06212,12,120000.96,,F,1200000,1,TYPE-B,56,0,MONTHLY,136866,INFORCE,20111229,
A06213,32,119999.09,M,F,900000,1,TYPE-A,33,1,ANNUAL,1262022,INFORCE,20111228,
A06214,12,135000,,F,375612,2,TYPE-B,50,0,ANNUAL,1288544,CANCELLED,20111229,20130226
A06215,17,100000,M,M,579996,1,TYPE-B,38,3,SEMI-ANNUAL,268344,INFORCE,20111230,
A06216,12,100000,S,M,1999992,2,TYPE-B,40,0,ANNUAL,1219222,INFORCE,20111228,
A06217,12,199999.99,M,M,1179996,2,TYPE-B,64,2,ANNUAL,532155,INFORCE,20111230,
A06218,12,100000,M,F,277776,2,TYPE-B,37,1,ANNUAL,1288544,CANCELLED,20120106,20130307
A06219,12,120000.96,M,M,799992,1,TYPE-B,39,2,MONTHLY,305422,INFORCE,20120106,
A06220,17,555486.62,S,M,2299992,1,TYPE-A,37,0,ANNUAL,225699,CANCELLED,20111230,20130127
A06221,53,145499.83,M,M,750000,2,TYPE-A,51,2,ANNUAL,1133688,INFORCE,20111230,
A06222,70,101000.42,,F,399996,2,TYPE-A,62,3,ANNUAL,1132533,CANCELLED,20111229,20130127
A06223,66,125900.1,,M,,6,TYPE-A,63,3,ANNUAL,1270566,CANCELLED,20111229,20130127
A06224,60,109999.53,M,M,699996,1,TYPE-A,44,1,ANNUAL,1277233,INFORCE,20111230,
A06225,56,145500.42,M,F,789996,2,TYPE-A,48,3,ANNUAL,1133688,INFORCE,20111230,
A06226,102,104190.3,,M,99996,1,TYPE-A,28,0,ANNUAL,1288555,INFORCE,20111230,
A06227,99,100163.22,,M,499992,2,TYPE-A,44,0,ANNUAL,846600,INFORCE,20111230,
A06228,12,300000,M,M,3000000,1,TYPE-B,40,1,ANNUAL,1212944,INFORCE,20111230,
A06229,12,100000,M,M,799992,2,TYPE-B,43,2,ANNUAL,969622,INFORCE,20111230,
A06230,12,100000,,M,799992,2,TYPE-B,43,0,ANNUAL,969622,INFORCE,20111230,
A06231,97,104190.3,,F,600000,2,TYPE-A,27,0,ANNUAL,1288555,INFORCE,20111230,
A06232,12,100000,,F,499992,1,TYPE-B,60,0,SEMI-ANNUAL,500700,CANCELLED,20111230,20130226
A06233,12,199999.98,M,F,1200000,1,TYPE-B,59,3,SEMI-ANNUAL,792577,CANCELLED,20111230,20130226
A06234,12,150001.2,M,M,519996,1,TYPE-B,43,1,MONTHLY,1291200,CANCELLED,20111230,20120428
A06235,12,499000.04,M,F,414396,1,TYPE-B,49,2,ANNUAL,1288555,CANCELLED,20111230,20130226
A06236,12,100000,,M,600000,1,TYPE-B,49,0,ANNUAL,1219222,CANCELLED,20111230,20130226
A06237,12,150000,S,M,999996,2,TYPE-B,30,0,ANNUAL,1271600,INFORCE,20120110,
A06238,91,150000.01,,M,499992,2,TYPE-A,72,0,ANNUAL,1234800,CANCELLED,20111230,20130127
A06239,102,398493.37,,M,1999992,2,TYPE-A,63,0,ANNUAL,1234800,INFORCE,20111230,
A06240,12,500004,M,M,499992,1,TYPE-B,29,3,MONTHLY,220044,CANCELLED,20120118,20130817
A06241,32,283461.59,M,M,799992,2,TYPE-A,59,3,ANNUAL,1291322,INFORCE,20120119,
A06242,12,1100000,M,M,799992,2,TYPE-B,45,3,SEMI-ANNUAL,1125433,CANCELLED,20111230,20120827
A06243,12,120000.84,M,M,1200000,1,TYPE-B,52,2,MONTHLY,1223600,INFORCE,20111230,
A06244,85,173650.5,,F,999996,2,TYPE-A,55,0,ANNUAL,1291322,INFORCE,20111230,
A06245,58,132882.4,M,M,1200000,1,TYPE-A,46,2,ANNUAL,1290500,INFORCE,20111230,
A06246,12,200000,M,M,999996,2,TYPE-B,44,1,SEMI-ANNUAL,1271099,CANCELLED,20120125,20120923
A06247,69,888562.5,,M,2199996,2,TYPE-A,63,2,ANNUAL,1290566,INFORCE,20111230,
A06248,71,411437.44,,M,1999992,2,TYPE-A,63,2,ANNUAL,1290566,INFORCE,20111230,
A06249,27,136433.28,,M,1200000,1,TYPE-A,41,0,MONTHLY,1291555,CANCELLED,20111230,20130612
A06250,65,165000.3,,M,,6,TYPE-A,65,3,ANNUAL,1270566,CANCELLED,20111230,20130127
A06251,12,100000,S,M,609996,2,TYPE-B,25,0,ANNUAL,959322,CANCELLED,20120127,20130328
A06252,17,560458.8,M,M,,6,TYPE-A,64,3,MONTHLY,1135788,CANCELLED,20111230,20121112
A06253,12,300006.84,S,F,399996,5,TYPE-A,65,0,MONTHLY,1244022,CANCELLED,20111230,20120314
A06254,12,129990.96,S,M,799992,2,TYPE-B,26,0,MONTHLY,736922,CANCELLED,20111230,20120428
A06255,83,149999.51,S,M,517992,2,TYPE-A,19,0,ANNUAL,1271600,INFORCE,20111230,
A06256,12,240001.8,M,M,999996,2,TYPE-B,50,2,MONTHLY,1195799,CANCELLED,20120112,20130711
A06257,12,250000,S,M,399996,2,TYPE-B,25,0,ANNUAL,1154511,CANCELLED,20111230,20130226
A06258,12,250000,,M,249996,1,TYPE-B,60,0,SEMI-ANNUAL,1154511,CANCELLED,20111230,20120827
A06259,12,150000,M,M,1425996,1,TYPE-B,27,2,ANNUAL,856277,CANCELLED,20111230,20130226
A06260,12,150000,,M,1425996,1,TYPE-B,27,1,ANNUAL,856277,CANCELLED,20111230,20130226
A06261,59,406550.35,M,M,150000000,2,TYPE-A,46,2,ANNUAL,1160133,CANCELLED,20120110,20130209
A06262,12,100000.8,,F,699996,1,TYPE-B,53,0,MONTHLY,1075544,CANCELLED,20111230,20120428
A06263,12,240001.92,M,M,300000,1,TYPE-B,35,2,MONTHLY,1228855,INFORCE,20111230,
A06264,12,100000,M,M,1200000,1,TYPE-B,35,2,SEMI-ANNUAL,1183188,CANCELLED,20120110,20120908
A06265,12,499999.99,M,M,2277996,2,TYPE-B,65,3,ANNUAL,1182811,CANCELLED,20120113,20130314
A06266,12,499999.99,M,M,2277996,2,TYPE-B,65,3,ANNUAL,1182811,CANCELLED,20120113,20130314
A06267,12,300002.4,M,M,799992,2,TYPE-B,51,2,MONTHLY,1291422,CANCELLED,20120113,20120612
A06268,71,101515.2,M,M,999996,1,TYPE-A,34,3,SEMI-ANNUAL,879277,CANCELLED,20120109,20120805
A06269,12,135000,,M,,1,TYPE-B,41,0,ANNUAL,1288544,CANCELLED,20120109,20130310
A06270,76,349999.69,S,F,799992,2,TYPE-A,27,0,ANNUAL,1133688,INFORCE,20120109,
A06271,12,100001.76,M,M,1894404,1,TYPE-B,56,3,MONTHLY,281055,CANCELLED,20120110,20120508
A06272,12,499999.99,M,M,2277996,2,TYPE-B,65,2,ANNUAL,1182811,CANCELLED,20120113,20130314
A06273,17,100000.92,,M,159996,1,TYPE-A,46,1,SEMI-ANNUAL,261500,INFORCE,20120112,
A06274,12,120000,M,M,370284,1,TYPE-B,44,2,ANNUAL,1248500,INFORCE,20120110,
A06275,12,100000,,M,180000,1,TYPE-B,59,0,SEMI-ANNUAL,241922,INFORCE,20120110,
A06276,22,100000.8,M,M,2436000,1,TYPE-B,33,1,MONTHLY,1212700,INFORCE,20120120,
A06277,27,115120.44,M,M,799992,2,TYPE-A,43,2,MONTHLY,1287133,CANCELLED,20120112,20130527
A06278,12,100000,M,M,439992,1,TYPE-B,42,1,SEMI-ANNUAL,627600,CANCELLED,20120111,20120909
A06279,12,180001.32,M,M,600000,1,TYPE-B,59,3,MONTHLY,1182699,INFORCE,20120124,
A06280,12,150000,,M,3000000,1,TYPE-B,37,1,ANNUAL,1236444,CANCELLED,20120111,20130312
A06281,58,149999.87,M,M,2499996,2,TYPE-A,47,2,ANNUAL,750877,INFORCE,20120111,
A06282,67,103999.89,M,M,499992,2,TYPE-A,38,1,ANNUAL,1224888,CANCELLED,20120111,20130210
A06283,71,417676.87,,M,,1,TYPE-A,64,2,ANNUAL,1290566,INFORCE,20120111,
A06284,12,100000,,M,600000,2,TYPE-B,77,0,ANNUAL,708822,CANCELLED,20120113,20130314
A06285,71,250999.61,,M,1999992,1,TYPE-A,64,3,ANNUAL,1234800,INFORCE,20120123,
A06286,12,180001.32,M,F,999996,2,TYPE-B,56,1,MONTHLY,1182699,INFORCE,20120123,
A06287,12,120000,S,M,750000,1,TYPE-B,27,0,SEMI-ANNUAL,1143799,INFORCE,20120112,
A06288,17,110034.71,,F,499992,1,TYPE-A,49,0,ANNUAL,1026944,INFORCE,20120117,
A06289,27,119999.87,M,F,900000,1,TYPE-A,34,2,ANNUAL,1262022,INFORCE,20120120,
A06290,12,125000.03,M,F,399996,2,TYPE-B,65,1,ANNUAL,637844,CANCELLED,20120131,20130329
A06291,12,1100000,S,M,1410000,2,TYPE-B,23,0,SEMI-ANNUAL,703266,CANCELLED,20120119,20120917
A06292,12,100000,,M,450000,2,TYPE-B,45,1,SEMI-ANNUAL,1182811,INFORCE,20120117,
A06293,57,121821.96,M,M,600000,5,TYPE-A,48,2,MONTHLY,1164166,CANCELLED,20120131,20120513
A06294,58,149999.87,M,M,2499996,1,TYPE-A,47,3,ANNUAL,750877,INFORCE,20120117,
A06295,55,149999.67,M,M,999996,1,TYPE-A,50,1,ANNUAL,750877,INFORCE,20120118,
A06296,32,102061.9,,M,1299996,1,TYPE-A,36,0,SEMI-ANNUAL,1262033,INFORCE,20120118,
A06297,17,100000.38,M,M,600000,2,TYPE-A,63,1,SEMI-ANNUAL,1132722,INFORCE,20120213,
A06298,78,500000.47,M,M,999996,2,TYPE-A,25,2,ANNUAL,1219222,CANCELLED,20120119,20130218
A06299,12,100999.94,M,F,1800000,1,TYPE-B,52,3,SEMI-ANNUAL,1208455,INFORCE,20120119,
A06300,12,990007.8,M,M,600000,1,TYPE-B,51,3,MONTHLY,727777,CANCELLED,20120131,20130926
A06301,101,502336.17,,M,1999992,2,TYPE-A,64,0,ANNUAL,1290566,INFORCE,20120123,
A06302,77,115033.2,,M,1299996,1,TYPE-A,57,0,ANNUAL,1271099,INFORCE,20120124,
A06303,27,125811.01,,M,600000,2,TYPE-A,53,0,ANNUAL,1295044,INFORCE,20120123,
A06304,71,100000.47,S,M,480000,1,TYPE-A,33,0,ANNUAL,264566,INFORCE,20120125,
A06305,59,102648.22,M,M,600000,2,TYPE-A,46,3,ANNUAL,1290511,CANCELLED,20120124,20130223
A06306,12,100000,M,M,1299996,2,TYPE-B,43,3,SEMI-ANNUAL,879255,CANCELLED,20120124,20120922
A06307,12,300002.4,,M,,6,TYPE-B,67,0,MONTHLY,807311,CANCELLED,20120130,20120527
A06308,12,120000,,M,849996,1,TYPE-B,62,0,SEMI-ANNUAL,471366,INFORCE,20120125,
A06309,17,126000.11,M,M,499992,1,TYPE-A,63,2,ANNUAL,351277,INFORCE,20120130,
A06310,12,111111,M,M,600000,2,TYPE-B,39,2,ANNUAL,923455,CANCELLED,20120125,20130326
A06311,12,150000,M,F,168756,1,TYPE-B,42,2,ANNUAL,428277,CANCELLED,20120131,20130329
A06312,12,110000,S,M,349992,2,TYPE-B,21,0,ANNUAL,836844,INFORCE,20120131,
A06313,60,139464.48,M,M,450000,2,TYPE-A,45,3,MONTHLY,1164166,CANCELLED,20120125,20120409
A06314,74,131700.2,,M,1234992,2,TYPE-A,65,0,ANNUAL,1290511,INFORCE,20120125,
A06315,79,131700.2,,M,1234992,2,TYPE-A,65,0,ANNUAL,1290566,INFORCE,20120125,
A06316,78,100000.09,S,M,999996,1,TYPE-A,25,0,ANNUAL,1219222,CANCELLED,20120125,20130224
A06317,68,234000.4,,F,300000,2,TYPE-A,63,0,ANNUAL,1294011,CANCELLED,20120210,20130312
A06318,52,147507.41,,M,,6,TYPE-A,63,3,ANNUAL,1133688,INFORCE,20120130,
A06319,73,149999.51,,M,399996,1,TYPE-A,62,0,ANNUAL,1133688,INFORCE,20120130,
A06320,63,235999.97,,M,199992,2,TYPE-A,76,1,ANNUAL,1132277,INFORCE,20120131,
A06321,12,149999.98,,M,10826892,1,TYPE-B,48,3,SEMI-ANNUAL,1236444,INFORCE,20120130,
A06322,12,150000,,M,,1,TYPE-B,62,0,ANNUAL,563644,CANCELLED,20120206,20130407
A06323,12,100000,,M,,6,TYPE-B,66,3,ANNUAL,745388,CANCELLED,20120131,20130329
A06324,12,149999.92,M,M,499992,2,TYPE-B,48,3,ANNUAL,499555,CANCELLED,20120131,20130329
A06325,27,100005.57,M,M,499992,5,TYPE-A,59,1,ANNUAL,1126533,CANCELLED,20120131,20130227
A06326,12,111111,M,M,499992,2,TYPE-B,44,2,ANNUAL,1267022,CANCELLED,20120131,20130329
A06327,12,100000,M,M,225000,1,TYPE-B,30,2,SEMI-ANNUAL,1250577,CANCELLED,20120131,20120926
A06328,12,300000,M,M,600000,2,TYPE-B,29,3,SEMI-ANNUAL,1219477,CANCELLED,20120131,20120926
A06329,12,100000,S,M,379992,2,TYPE-B,33,0,ANNUAL,1219777,CANCELLED,20120131,20130329
A06330,12,100000,S,M,379992,2,TYPE-B,33,0,ANNUAL,1222022,CANCELLED,20120131,20130329
A06331,12,100000,S,M,199992,2,TYPE-B,20,0,ANNUAL,1199877,INFORCE,20120131,
A06332,12,149941.08,M,M,199992,1,TYPE-B,29,3,MONTHLY,1228366,CANCELLED,20120208,20120527
A06333,12,199999.99,M,M,600000,1,TYPE-B,57,1,ANNUAL,1280799,INFORCE,20120216,
A06334,12,100000,M,F,600000,2,TYPE-B,44,2,ANNUAL,1298677,CANCELLED,20120131,20130329
A06335,92,101517.34,,M,499992,1,TYPE-A,62,0,SEMI-ANNUAL,1133688,CANCELLED,20120131,20120827
A06336,12,1000000,,F,600000,1,TYPE-B,55,0,ANNUAL,755699,CANCELLED,20120131,20130329
A06337,65,300000.01,M,M,699996,1,TYPE-A,40,2,ANNUAL,1133688,INFORCE,20120131,
A06338,12,199999.99,M,M,1599996,1,TYPE-B,56,2,ANNUAL,923488,INFORCE,20120207,
A06339,27,119999.76,M,F,900000,1,TYPE-A,37,1,MONTHLY,20811,INFORCE,20120131,
A06340,12,100000,M,M,1299996,2,TYPE-B,37,2,ANNUAL,1219222,CANCELLED,20120131,20130329
A06341,12,100000.8,S,M,999996,2,TYPE-B,28,0,MONTHLY,1292511,INFORCE,20120131,
A06342,32,100000.15,,M,699996,2,TYPE-A,59,1,ANNUAL,1256722,INFORCE,20120227,
A06343,69,300000.03,,M,,6,TYPE-A,65,2,ANNUAL,1290566,CANCELLED,20120131,20130227
A06344,12,100000,,F,799992,2,TYPE-B,49,0,SEMI-ANNUAL,746500,CANCELLED,20120215,20121014
A06345,52,147507.41,,M,,1,TYPE-A,63,1,ANNUAL,1133688,INFORCE,20120209,
A06346,12,100000,,F,799992,2,TYPE-B,49,0,SEMI-ANNUAL,746500,CANCELLED,20120215,20121014
A06347,96,180003.36,,F,499992,2,TYPE-A,35,0,MONTHLY,1275311,INFORCE,20120208,
A06348,12,100000,,F,799992,2,TYPE-B,49,0,SEMI-ANNUAL,746500,CANCELLED,20120215,20121014
A06349,12,100000,S,M,399996,1,TYPE-B,29,0,ANNUAL,1238711,CANCELLED,20120208,20130409
A06350,17,120407.84,M,M,1500000,1,TYPE-A,51,1,ANNUAL,1291666,INFORCE,20120209,
A06351,32,241968.26,M,M,375216,2,TYPE-A,49,3,ANNUAL,1291322,INFORCE,20120224,
A06352,12,100000,,F,,6,TYPE-B,77,3,ANNUAL,1167777,CANCELLED,20120209,20130410
A06353,12,199999.99,M,M,399996,2,TYPE-B,50,1,ANNUAL,494877,CANCELLED,20120217,20130418
A06354,12,100000,M,M,349992,2,TYPE-B,60,3,SEMI-ANNUAL,1249566,CANCELLED,20120213,20121012
A06355,12,399999.99,,M,549996,1,TYPE-B,84,2,ANNUAL,1259355,CANCELLED,20120228,20130429
A06356,70,201000.45,S,M,300000,1,TYPE-A,35,0,ANNUAL,1294011,CANCELLED,20120223,20130325
A06357,27,249999.76,,M,3499992,1,TYPE-A,46,1,ANNUAL,1294311,INFORCE,20120215,
A06358,12,100000,M,M,300000,1,TYPE-B,43,2,SEMI-ANNUAL,1231488,CANCELLED,20120217,20121016
